E[1] [eV],Im(eps)_ecutwfc_30,Im(eps)_ecutwfc_40,Im(eps)_ecutwfc_50,Im(eps)_ecutwfc_60,Im(eps)_ecutwfc_70,Im(eps)_ecutwfc_80,Im(eps)_ecutwfc_90,Im(eps)_ecutwfc_100
16.165410,0.46326300,0.53532100,0.53986100,0.60098300,0.60489300,0.60275700,0.60230100,0.60192500
16.203010,0.45209600,0.55553200,0.50510600,0.56653200,0.57957500,0.58086000,0.58105300,0.58101200
16.240600,0.46463700,0.55824800,0.48047800,0.52806900,0.54831800,0.55163300,0.55226600,0.55255300
16.278190,0.49076900,0.55744600,0.46559200,0.48615400,0.51553300,0.52048100,0.52139900,0.52198600
16.315790,0.52764500,0.55476400,0.46428000,0.45546600,0.48820300,0.49436400,0.49541400,0.49620500
16.353380,0.56832400,0.54290200,0.47903100,0.44588300,0.46620000,0.47389300,0.47517400,0.47619300
16.390980,0.59334000,0.51636100,0.49926700,0.45366500,0.44973900,0.45550000,0.45663200,0.45759200
16.428570,0.58703300,0.48570100,0.50790200,0.47213400,0.45198700,0.45209600,0.45232800,0.45266300
16.466160,0.56211400,0.45875800,0.50430900,0.49097200,0.47329500,0.46906800,0.46844100,0.46815700
16.503760,0.54198500,0.44618200,0.49723900,0.49401200,0.49110300,0.48681900,0.48596600,0.48545400
16.541350,0.51748400,0.45831200,0.49504900,0.48512700,0.48759700,0.48608100,0.48560900,0.48525200
16.578950,0.48113900,0.48620500,0.49503500,0.48042700,0.47406900,0.47320100,0.47299100,0.47277900
16.616540,0.45053000,0.51317100,0.49206400,0.48165400,0.46549000,0.46264600,0.46221200,0.46183300
16.654130,0.44003500,0.52341700,0.49350000,0.48832000,0.47067400,0.46486900,0.46383700,0.46298800
16.691730,0.44973100,0.52028800,0.50502000,0.50280200,0.49684900,0.49096500,0.48964800,0.48854900
16.729320,0.46677600,0.52629400,0.52635200,0.52339200,0.53036700,0.52913600,0.52862500,0.52816100
16.766920,0.47510500,0.54501000,0.54522800,0.53614500,0.54606400,0.54925200,0.54980700,0.55021400
16.804510,0.46493300,0.55788600,0.54885600,0.53735700,0.53955400,0.54320600,0.54405000,0.54472500
16.842100,0.44921100,0.54846200,0.53102800,0.52510400,0.51926800,0.52108400,0.52160200,0.52205100
16.879700,0.44477200,0.52563100,0.49245400,0.49410900,0.48791200,0.48847500,0.48872200,0.48895100
16.917290,0.44942400,0.49574200,0.45289000,0.46259400,0.45620900,0.45535700,0.45531500,0.45529600
16.954890,0.45340400,0.45124900,0.43442100,0.44717900,0.43780600,0.43569900,0.43537200,0.43509000
16.992480,0.44913500,0.40378600,0.43447000,0.43824900,0.43063500,0.42858000,0.42822700,0.42793600
17.030080,0.43159800,0.37366800,0.44039400,0.42066600,0.42217100,0.42147300,0.42134200,0.42129100
17.067670,0.40467700,0.35979100,0.44370700,0.40135300,0.40846900,0.40924100,0.40933600,0.40948700
17.105260,0.37396100,0.34819800,0.43589800,0.39325000,0.39675500,0.39828400,0.39853700,0.39876800
17.142850,0.34677700,0.33763500,0.42044800,0.39178300,0.38978000,0.39066900,0.39089100,0.39104000
17.180450,0.33739800,0.33914300,0.39987300,0.39419600,0.38755400,0.38662900,0.38654100,0.38641600
17.218040,0.34913900,0.35858500,0.37381300,0.40396600,0.39461100,0.39203600,0.39156600,0.39114500
17.255640,0.37144300,0.39225500,0.35260100,0.41683000,0.40859700,0.40566700,0.40506900,0.40460400
17.293230,0.39453000,0.43161200,0.34416200,0.41707600,0.41949800,0.41791700,0.41753800,0.41732000
17.330830,0.41544400,0.46318200,0.34915500,0.40253500,0.41962000,0.42107500,0.42121800,0.42139500
17.368420,0.43671200,0.48126100,0.37036200,0.39360900,0.41589900,0.41976500,0.42035500,0.42081900
17.406010,0.45750300,0.48584800,0.40388200,0.39903700,0.41497400,0.41961800,0.42039400,0.42098000
17.443610,0.46784400,0.47097700,0.43617700,0.41237000,0.41671900,0.41963200,0.42017500,0.42060700
17.481200,0.45086500,0.44209400,0.46038200,0.42147100,0.41964000,0.42026600,0.42036800,0.42048600
17.518800,0.41509600,0.41117000,0.47396100,0.41398100,0.41120200,0.41179800,0.41191900,0.41203600
