E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
13.045110,1.93264200,2.08382100,2.13660500,2.14923700,2.12075900,2.11370100,2.11245500,2.11165000
13.082710,1.94494200,2.04626400,2.09903300,2.12587000,2.10183700,2.09529000,2.09407600,2.09331400
13.120300,1.93147000,1.97767200,2.03075100,2.06797400,2.05971600,2.05497500,2.05410800,2.05358500
13.157890,1.87713800,1.90552400,1.94457200,1.95959500,1.97503700,1.97427300,1.97408700,1.97404600
13.195490,1.79158100,1.85212800,1.84330200,1.81832100,1.85060700,1.85658900,1.85760700,1.85834800
13.233080,1.71687500,1.80830600,1.76983300,1.73174000,1.75913600,1.76928800,1.77131500,1.77266900
13.270670,1.68363000,1.76615500,1.75793100,1.72280700,1.73231200,1.73954200,1.74120400,1.74232300
13.308270,1.69707600,1.74857100,1.76459200,1.72237900,1.72462800,1.72684500,1.72743000,1.72788500
13.345860,1.72053200,1.76602300,1.74384400,1.68172800,1.68968900,1.69028500,1.69033500,1.69044900
13.383460,1.68598400,1.77894600,1.72118100,1.64752400,1.65059200,1.65233800,1.65252600,1.65265100
13.421050,1.58684300,1.74967700,1.73736800,1.66569700,1.64817500,1.64810700,1.64812600,1.64812400
13.458640,1.51850000,1.70135100,1.77389400,1.69801400,1.66357900,1.65875600,1.65803600,1.65763100
13.496240,1.52736600,1.68362000,1.77178800,1.69825700,1.66150200,1.65398900,1.65274000,1.65207000
13.533830,1.58410300,1.69514300,1.71822500,1.67588900,1.64726300,1.63971600,1.63833400,1.63756200
13.571430,1.64327200,1.70362400,1.66767800,1.67090700,1.65133500,1.64447200,1.64313800,1.64233400
13.609020,1.66402900,1.68177400,1.65273000,1.68691800,1.67805000,1.67295800,1.67191900,1.67124800
13.646620,1.62605500,1.61659100,1.65130600,1.69835900,1.70569100,1.70399200,1.70355900,1.70321200
13.684210,1.53282500,1.54958700,1.62560700,1.67525200,1.70086400,1.70451800,1.70500300,1.70520700
13.721800,1.41032800,1.51684600,1.55291500,1.60786700,1.64491700,1.65430200,1.65585400,1.65684100
13.759400,1.31625200,1.49047300,1.46807100,1.51126800,1.54470500,1.55721400,1.55954100,1.56122700
13.796990,1.28528500,1.44947300,1.43154800,1.42202400,1.43409800,1.44186600,1.44362800,1.44509300
13.834590,1.26741400,1.39980600,1.43290300,1.37737900,1.36596600,1.36556900,1.36573100,1.36609700
13.872180,1.20098300,1.32532400,1.43701900,1.37987700,1.35146800,1.34595800,1.34500600,1.34450400
13.909770,1.10641000,1.22406600,1.42462200,1.39783300,1.36613300,1.35851200,1.35697100,1.35596600
13.947370,1.06838500,1.16663700,1.35988500,1.38334500,1.37105600,1.36603700,1.36485600,1.36407700
13.984960,1.10105000,1.18043600,1.23531200,1.31343900,1.33822900,1.34026500,1.34039100,1.34054400
14.022560,1.14644200,1.18753200,1.12332800,1.21832300,1.26660100,1.27743100,1.27918200,1.28042800
14.060150,1.15290000,1.13948000,1.06150300,1.12174600,1.15917800,1.17107300,1.17320300,1.17474600
14.097740,1.09048600,1.07925500,1.02023600,1.03195400,1.04602400,1.05118400,1.05210000,1.05285700
14.135340,0.98285000,1.02869000,1.00969900,0.96550700,0.97591500,0.97767000,0.97785600,0.97812700
14.172930,0.90266200,0.97003700,1.04325200,0.93309900,0.94165800,0.94457600,0.94497900,0.94537700
14.210530,0.86062900,0.91378400,1.07977400,0.94045500,0.91881700,0.92013500,0.92043700,0.92067300
14.248120,0.80629700,0.88412700,1.07428400,0.97009600,0.91422200,0.90676000,0.90570200,0.90497800
14.285710,0.75072800,0.87512500,1.03466800,0.99335500,0.94000200,0.92533000,0.92279900,0.92104900
