E[1] [eV],Im(eps)_nk_20,Im(eps)_nk_22,Im(eps)_nk_24,Im(eps)_nk_26,Im(eps)_nk_28,Im(eps)_nk_30,Im(eps)_nk_32,Im(eps)_nk_34,Im(eps)_nk_36,Im(eps)_nk_38,Im(eps)_nk_40
10.075190,0.06541400,0.09771300,0.09749900,0.07615600,0.09996500,0.08930500,0.10692700,0.09273800,0.09727200,0.08970100,0.09950500
10.112780,0.06087700,0.09535600,0.10696400,0.07177800,0.09761800,0.09620800,0.10905300,0.08356500,0.09989500,0.09591100,0.10051500
10.150380,0.05795800,0.09897500,0.11898800,0.07166900,0.09233700,0.10664400,0.11214500,0.07917700,0.09824300,0.10670300,0.10078700
10.187970,0.05601500,0.10274600,0.12528100,0.07373200,0.08906600,0.11592500,0.11285600,0.08039500,0.09388300,0.11577900,0.10023000
10.225560,0.05610300,0.10493500,0.12754600,0.07543000,0.09175600,0.11707500,0.10992100,0.08645400,0.09027800,0.11680000,0.09692800
10.263160,0.05907800,0.10994900,0.13077700,0.07820400,0.09842700,0.10925800,0.10270000,0.09356600,0.08559400,0.11252000,0.09299400
10.300750,0.06576700,0.11690200,0.12982600,0.08383200,0.10220500,0.10049400,0.09298400,0.09769800,0.08183500,0.10616300,0.09157000
10.338350,0.07752500,0.11874800,0.12027800,0.08772800,0.09855900,0.09671100,0.08448200,0.09958200,0.08328600,0.09910200,0.09088300
10.375940,0.09576300,0.11227200,0.10633500,0.08543800,0.09226200,0.09575800,0.07797200,0.10124300,0.09043700,0.09391600,0.08996700
10.413530,0.11831400,0.10394300,0.09167900,0.08210400,0.09004900,0.09461600,0.07499900,0.10269400,0.09925900,0.09192200,0.09106400
10.451130,0.13435300,0.09571100,0.07917800,0.08207300,0.09370500,0.09446900,0.07676600,0.10232700,0.10468400,0.09023000,0.09266300
10.488720,0.13636300,0.08475800,0.07031200,0.08357000,0.10297500,0.09466100,0.08136400,0.10017200,0.10511900,0.08638500,0.09226300
10.526310,0.13104400,0.07431700,0.06530700,0.08625800,0.11265400,0.09533200,0.08531500,0.09538300,0.10161400,0.08310500,0.09200700
