#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       1.69883442        -16.9543495        -5.53104782        -3.62845683        -3.45195651         8.67406273         8.96103382         9.19593525         9.93115425        0.149999842        0.149999827         0.00000000   
       1.72100055        -17.0833282        -5.24086142        -3.76876211        -3.30364919         8.47551632         8.78522301         8.96954346         9.82122517        0.141666517        0.141666502         0.00000000   
       1.74316669        -17.2066097        -4.89714193        -4.00277472        -3.10834622         8.27751446         8.60243893         8.75228310         9.68393040        0.133333191        0.133333206         0.00000000   
       1.76533282        -17.3238258        -4.68143415        -4.09567451        -2.92130899         8.06355000         8.44524765         8.54118156         9.53401947        0.124999873        0.124999851         0.00000000   
       1.78749895        -17.4346542        -4.73578930        -3.90616035        -2.74397993         7.85761356         8.29563999         8.34619904         9.38225174        0.116666548        0.116666541         0.00000000   
       1.80966508        -17.5388184        -4.92696476        -3.57575345        -2.57050991         7.67266989         8.14470673         8.16758156         9.22861290        0.108333223        0.108333200         0.00000000   
       1.83183122        -17.6360798        -5.07904434        -3.28276539        -2.40115118         7.50882435         7.99403048         7.99852657         9.07636642        0.999998972E-1     0.999998897E-1      0.00000000   
       1.85399735        -17.7262211        -5.19170904        -3.02874327        -2.23753166         7.36037445         7.84853745         7.84141779         8.93664742        0.916665792E-1     0.916665643E-1      0.00000000   
       1.87616348        -17.8090591        -5.30812645        -2.77111125        -2.08215022         7.22086525         7.71524191         7.70214176         8.81301594        0.833332464E-1     0.833332390E-1      0.00000000   
       1.89832962        -17.8844376        -5.41365433        -2.52158403        -1.94127786         7.09385157         7.59542942         7.57851601         8.69595051        0.749999210E-1     0.749999136E-1      0.00000000   
       1.92049575        -17.9522133        -5.49490213        -2.29842854        -1.81357419         6.98723507         7.48407793         7.46507645         8.58300781        0.666665956E-1     0.666666031E-1      0.00000000   
       1.94266188        -18.0122738        -5.56620502        -2.09466481        -1.69537473         6.89168119         7.38639688         7.36192989         8.48444366        0.583332740E-1     0.583332703E-1      0.00000000   
       1.96482801        -18.0645142        -5.63961744        -1.89719355        -1.59153819         6.79981709         7.30567837         7.27543688         8.40485954        0.499999486E-1     0.499999449E-1      0.00000000   
